Produkt,Kategori,Total kg CO2e/kg,Landbrug,ILUC,Forarbejdning,Emballage,Transport,Detail
Pasta,Korn og kornprodukter,1.73,0.74,0.25,0.15,0.23,0.36,0.01
Æble,Frugt og frugtprodukter,0.58,0.28,0.06,0.00,0.14,0.10,0.01
Pære,Frugt og frugtprodukter,0.43,0.16,0.07,0.00,0.14,0.04,0.01
Vindrue,Frugt og frugtprodukter,0.80,0.37,0.13,0.00,0.14,0.16,0.01
Grisekød. flæskesteg. nakkekam med svær,Kød og fjerkræ,4.64,2.58,1.54,-0.22,0.14,0.60,0.00
Grisekød. skinke. inderlår. afpudset,Kød og fjerkræ,4.64,2.58,1.54,-0.22,0.14,0.60,0.00
Grisekød. filet. afpudset,Kød og fjerkræ,5.54,3.09,1.85,-0.27,0.14,0.72,0.00
Grisekød. mørbrad. afpudset,Kød og fjerkræ,7.33,4.13,2.47,-0.35,0.14,0.95,0.00
Grisekød. hakket. 5-10% fedt,Kød og fjerkræ,3.71,2.32,1.37,-0.65,0.14,0.53,0.00
Grisekød. nakkefilet. afpudset (Nakkekotelet),Kød og fjerkræ,4.74,2.98,1.76,-0.83,0.14,0.68,0.00
Grisekød. hakket. 15-20% fedt,Kød og fjerkræ,3.75,2.06,1.24,-0.18,0.14,0.49,0.00
Millionbøf. uspec.. færdigretter,Færdigretter,16.27,12.68,2.94,-0.52,0.64,0.52,0.00
Forloren skildpadde. uspec.. færdigretter,Færdigretter,21.74,17.07,3.96,-0.63,0.63,0.71,0.01
Forårsrulle. dybfrost. færdigretter,Færdigretter,2.97,1.19,0.26,0.73,0.64,0.15,0.00
Grisekød i karrysovs. dybfrost. færdigretter,Færdigretter,4.72,2.22,1.35,-0.07,0.64,0.55,0.02
Pizza romana. dybfrost. færdigretter,Færdigretter,2.86,0.96,0.46,1.01,0.21,0.19,0.02
Lever. gris. i flødesovs. dybfrost. færdigretter,Færdigretter,3.11,0.83,0.57,0.84,0.64,0.21,0.02
Pizza napolitana. dybfrost. færdigretter,Færdigretter,2.72,0.76,0.25,1.35,0.21,0.13,0.02
Forårsrulle. friturestegt. færdigretter,Færdigretter,2.97,1.19,0.26,0.73,0.64,0.15,0.00
Pizza med broccoli. dybfrost. færdigretter,Færdigretter,2.45,0.53,0.20,1.38,0.21,0.11,0.02
Pizza med tunfisk. dybfrost. færdigretter,Færdigretter,2.53,0.39,0.25,1.56,0.21,0.10,0.02
Kødrand. dybfrost. færdigretter,Færdigretter,2.26,0.83,0.49,0.07,0.64,0.20,0.02
Kartoffel,Grøntsager og grøntsagsprodukter,0.39,0.21,0.05,0.00,0.06,0.06,0.01
Gulerod,Grøntsager og grøntsagsprodukter,0.26,0.11,0.04,0.00,0.06,0.04,0.01
